Filename	MSE	PSNR(dB)	SSIM		Avg_%_Mod
no_no_no 1	0.0089	20.50		0.6389		6.40
no_no_no 2	0.0050	23.02		0.5822		4.39
no_no_no 3	0.0074	21.32		0.8276		5.78
no_no_no 4	0.0089	20.51		0.7360		6.63
no_no_no 5	0.0099	20.06		0.6283		7.26
no_no_no 6	0.0076	21.17		0.8115		6.46
no_no_no 7	0.0037	24.26		0.8927		3.93
no_no_no 89	0.0089	20.50		0.7128		6.74
no_no_no 8	0.0071	21.47		0.5759		5.48
no_no_no 90	0.0035	24.54		0.5924		3.81
no_no_no 91	0.0102	19.93		0.7763		7.26
no_no_no 923	0.0061	22.18		0.8490		5.34
no_no_no 92	0.0090	20.43		0.7797		7.60
no_no_no 94	0.0095	20.21		0.6325		6.59
no_no_no 95	0.0077	21.14		0.6735		6.55
no_no_no 96	0.0087	20.59		0.7961		7.35
no_no_no 97	0.0051	22.97		0.8960		4.75
no_no_no 98	0.0125	19.02		0.5963		7.00
no_no_no 99	0.0101	19.95		0.6132		7.55
no_no_no 9	0.0018	27.40		0.5233		2.52
no_no_No11	0.0037	24.26		0.8927		3.93
no_no_No12	0.0120	19.20		0.7137		8.26
no_no_No13	0.0061	22.17		0.8580		5.16
no_no_No14	0.0068	21.69		0.6401		5.71
no_no_No15	0.0089	20.51		0.8400		6.65
no_no_No16	0.0054	22.65		0.8746		4.15
no_no_No17	0.0089	20.51		0.8400		6.65
no_no_No18	0.0087	20.62		0.8028		6.78
no_no_No19	0.0097	20.14		0.8284		7.39
no_no_No20	0.0097	20.12		0.6917		7.62
no_no_No21	0.0040	24.00		0.8886		4.04
no_no_No22	0.0110	19.60		0.7559		7.40
no_no_no	0.0055	22.58		0.8956		4.92
